id,category,value,previous_value,state
entity-01,A,46,76,enter
entity-02,A,36,26,enter
entity-03,A,93,50,enter
entity-04,A,89,78,enter
entity-05,A,64,77,enter
entity-06,A,55,34,enter
entity-07,A,16,77,enter
entity-08,A,92,25,enter
entity-09,A,54,61,update
entity-10,A,40,43,update
entity-11,B,60,91,update
entity-12,B,41,82,update
entity-13,B,55,12,update
entity-14,B,54,20,update
entity-15,B,56,42,update
entity-16,B,49,34,update
entity-17,B,43,58,update
entity-18,B,28,52,update
entity-19,B,22,58,update
entity-20,B,88,74,update
entity-21,C,33,46,update
entity-22,C,76,21,update
entity-23,C,34,52,exit
entity-24,C,92,66,exit
entity-25,C,25,34,exit
entity-26,C,74,59,exit
entity-27,C,18,54,exit
entity-28,C,46,54,exit
entity-29,C,70,64,exit
entity-30,C,29,49,exit
