id,value,group
scalar-01,0.003943,low
scalar-02,0.036499,low
scalar-03,0.07429,low
scalar-04,0.105835,low
scalar-05,0.137786,low
scalar-06,0.182656,low
scalar-07,0.208716,low
scalar-08,0.237767,low
scalar-09,0.285153,low
scalar-10,0.31283,low
scalar-11,0.354982,medium
scalar-12,0.37633,medium
scalar-13,0.421168,medium
scalar-14,0.44915,medium
scalar-15,0.488371,medium
scalar-16,0.517339,medium
scalar-17,0.547727,medium
scalar-18,0.582353,medium
scalar-19,0.616734,medium
scalar-20,0.655859,medium
scalar-21,0.685302,high
scalar-22,0.719421,high
scalar-23,0.759363,high
scalar-24,0.78009,high
scalar-25,0.826765,high
scalar-26,0.852638,high
scalar-27,0.895961,high
scalar-28,0.925577,high
scalar-29,0.955181,high
scalar-30,0.989119,high
