id,x,y,class
point-01,8.960203,12.619897,A
point-02,6.746294,6.773571,A
point-03,3.966841,4.099526,A
point-04,4.051163,2.954757,A
point-05,5.536609,4.709707,A
point-06,3.399533,2.06417,A
point-07,0.922297,6.963571,A
point-08,6.995005,6.578515,A
point-09,0.479152,6.434209,A
point-10,0.379536,7.957294,A
point-11,3.705524,2.050801,A
point-12,2.678187,2.851392,A
point-13,4.980784,2.92448,A
point-14,5.681773,4.526812,A
point-15,2.906751,2.788056,A
point-16,1.923634,5.473328,A
point-17,9.658893,14.825108,A
point-18,4.406819,2.820011,A
point-19,9.253536,13.791045,A
point-20,3.13789,4.283132,A
point-21,6.137341,6.205296,A
point-22,6.123633,4.605835,A
point-23,8.005297,8.42539,A
point-24,4.986898,4.653352,A
point-25,9.253485,12.732707,A
point-26,7.857838,10.305198,A
point-27,3.972845,2.64955,A
point-28,4.696782,2.944204,A
point-29,9.890221,15.773226,A
point-30,2.705003,4.09595,A
point-31,7.162913,8.465691,B
point-32,1.979626,3.057016,B
point-33,8.433002,11.142366,B
point-34,4.068926,2.256398,B
point-35,9.047687,12.680421,B
point-36,8.584262,10.436978,B
point-37,8.851882,11.327664,B
point-38,5.524912,4.730574,B
point-39,9.45934,15.86348,B
point-40,3.472041,2.208971,B
point-41,3.408535,2.890497,B
point-42,6.308058,4.958182,B
point-43,4.109561,4.108489,B
point-44,3.617622,3.175703,B
point-45,7.988296,8.59193,B
point-46,2.426531,3.362622,B
point-47,2.734086,4.057825,B
point-48,0.434752,7.739183,B
point-49,8.057188,9.373685,B
point-50,3.39985,3.843064,B
point-51,7.862233,9.247643,B
point-52,1.827045,4.202219,B
point-53,5.243953,3.512392,B
point-54,4.622169,4.413771,B
point-55,4.211426,3.615753,B
point-56,9.863763,15.932396,B
point-57,4.547084,3.856581,B
point-58,5.350558,5.190104,B
point-59,8.706735,13.031447,B
point-60,4.080602,3.547345,B
