date,series,value
2023-01,A,47.150057
2023-01,B,70.306857
2023-01,C,37.874976
2023-02,A,58.864133
2023-02,B,61.08762
2023-02,C,36.737044
2023-03,A,64.442148
2023-03,B,51.582343
2023-03,C,38.8682
2023-04,A,69.436755
2023-04,B,43.941923
2023-04,C,46.7853
2023-05,A,66.430417
2023-05,B,36.681603
2023-05,C,57.212777
2023-06,A,58.717626
2023-06,B,33.110058
2023-06,C,68.259009
2023-07,A,48.102136
2023-07,B,36.536038
2023-07,C,73.723951
2023-08,A,38.3156
2023-08,B,44.644494
2023-08,C,76.758991
2023-09,A,33.257942
2023-09,B,54.535858
2023-09,C,74.874093
2023-10,A,31.157733
2023-10,B,65.003505
2023-10,C,68.098118
2023-11,A,32.319051
2023-11,B,70.986417
2023-11,C,57.892199
2023-12,A,40.122938
2023-12,B,74.377527
2023-12,C,48.199327
2024-01,A,50.699468
2024-01,B,71.175191
2024-01,C,40.603834
2024-02,A,60.225914
2024-02,B,65.020702
2024-02,C,39.131191
2024-03,A,69.201012
2024-03,B,54.451694
2024-03,C,42.595147
2024-04,A,72.375897
2024-04,B,45.59405
2024-04,C,48.302653
2024-05,A,68.899554
2024-05,B,39.526288
2024-05,C,59.553319
2024-06,A,62.561895
2024-06,B,34.779697
2024-06,C,69.626617
2024-07,A,53.415456
2024-07,B,39.70092
2024-07,C,78.560627
2024-08,A,42.838582
2024-08,B,47.717527
2024-08,C,79.757987
2024-09,A,35.807882
2024-09,B,58.072127
2024-09,C,78.387648
2024-10,A,33.642247
2024-10,B,68.334218
2024-10,C,70.752956
2024-11,A,35.288908
2024-11,B,75.511324
2024-11,C,60.951059
2024-12,A,44.191811
2024-12,B,79.06722
2024-12,C,50.62037
2025-01,A,55.386161
2025-01,B,75.86683
2025-01,C,46.080984
2025-02,A,62.963316
2025-02,B,67.020416
2025-02,C,41.680323
2025-03,A,71.459095
2025-03,B,58.604354
2025-03,C,45.769384
2025-04,A,73.905002
2025-04,B,49.911465
2025-04,C,53.347306
2025-05,A,73.781424
2025-05,B,42.765753
2025-05,C,63.511639
2025-06,A,64.121602
2025-06,B,39.470593
2025-06,C,74.352662
2025-07,A,55.748729
2025-07,B,43.617276
2025-07,C,80.075129
2025-08,A,45.638337
2025-08,B,48.914515
2025-08,C,82.451409
2025-09,A,38.663787
2025-09,B,60.795228
2025-09,C,81.718861
2025-10,A,36.494728
2025-10,B,68.934557
2025-10,C,72.759048
2025-11,A,39.680325
2025-11,B,78.756018
2025-11,C,64.054983
2025-12,A,45.253314
2025-12,B,79.99256
2025-12,C,53.97239
2026-01,A,56.715572
2026-01,B,78.336362
2026-01,C,46.39441
2026-02,A,67.976122
2026-02,B,71.799212
2026-02,C,44.28214
2026-03,A,74.84022
2026-03,B,62.486094
2026-03,C,46.742193
2026-04,A,77.25984
2026-04,B,52.344542
2026-04,C,54.721501
2026-05,A,75.008715
2026-05,B,45.508444
2026-05,C,64.970798
2026-06,A,68.966534
2026-06,B,41.947017
2026-06,C,75.451898
2026-07,A,58.011154
2026-07,B,45.368468
2026-07,C,83.967989
2026-08,A,48.277952
2026-08,B,54.173415
2026-08,C,87.001566
2026-09,A,42.71849
2026-09,B,61.92639
2026-09,C,83.418127
2026-10,A,38.575508
2026-10,B,72.343941
2026-10,C,77.18271
2026-11,A,42.742744
2026-11,B,79.936019
2026-11,C,67.839382
2026-12,A,50.842327
2026-12,B,83.363449
2026-12,C,57.255727
