student_id,class_name,gender,age,province,region,admission_score,interest
S001,软件工程2班,女,18,河南,华中,610,前端开发
S002,软件工程1班,女,19,湖北,华中,603,数据分析
S003,数字媒体1班,女,19,湖南,华中,612,前端开发
S004,软件工程1班,女,18,河南,华中,560,前端开发
S005,数字媒体1班,男,19,四川,西南,603,人工智能
S006,软件工程1班,女,18,湖南,华中,595,人工智能
S007,数字媒体1班,男,18,浙江,华东,588,视觉设计
S008,软件工程1班,女,18,江西,华东,584,前端开发
S009,软件工程1班,男,18,浙江,华东,597,前端开发
S010,软件工程2班,男,18,江西,华东,554,前端开发
S011,软件工程2班,男,18,四川,西南,592,视觉设计
S012,数据科学1班,女,19,湖北,华中,591,数据分析
S013,软件工程1班,男,19,江苏,华东,601,前端开发
S014,软件工程2班,男,18,江苏,华东,542,人工智能
S015,软件工程2班,男,20,广东,华南,545,数据分析
S016,数字媒体1班,女,18,湖北,华中,560,视觉设计
S017,数据科学1班,男,19,湖北,华中,644,人工智能
S018,数据科学1班,男,18,湖北,华中,586,人工智能
S019,数据科学1班,女,19,福建,华东,605,数据分析
S020,软件工程1班,男,18,江苏,华东,619,数据分析
S021,数字媒体1班,男,17,广东,华南,565,数据分析
S022,数字媒体1班,女,18,湖南,华中,587,视觉设计
S023,软件工程1班,男,18,江苏,华东,612,前端开发
S024,软件工程2班,男,18,湖北,华中,549,视觉设计
S025,软件工程2班,男,18,河南,华中,575,数据分析
S026,软件工程2班,男,18,安徽,华东,596,前端开发
S027,软件工程1班,女,20,安徽,华东,559,数据分析
S028,软件工程1班,女,18,广东,华南,597,视觉设计
S029,软件工程2班,女,19,安徽,华东,580,前端开发
S030,软件工程1班,男,18,福建,华东,593,人工智能
S031,数字媒体1班,男,18,广东,华南,606,视觉设计
S032,数据科学1班,男,19,山东,华东,612,视觉设计
S033,软件工程1班,女,18,广西,华南,585,数据分析
S034,数据科学1班,女,18,广东,华南,601,人工智能
S035,软件工程1班,女,18,广东,华南,576,前端开发
S036,数据科学1班,男,19,四川,西南,581,人工智能
S037,软件工程2班,男,18,湖南,华中,611,前端开发
S038,数字媒体1班,女,17,湖北,华中,584,前端开发
S039,软件工程1班,男,17,四川,西南,596,前端开发
S040,软件工程2班,男,18,湖北,华中,583,人工智能
S041,软件工程1班,女,20,湖北,华中,569,前端开发
S042,软件工程2班,女,18,浙江,华东,584,人工智能
S043,软件工程1班,男,18,江苏,华东,565,人工智能
S044,软件工程1班,男,18,广东,华南,563,数据分析
S045,数据科学1班,男,20,山东,华东,585,数据分析
S046,数字媒体1班,男,19,湖南,华中,640,人工智能
S047,软件工程2班,男,18,山东,华东,572,数据分析
S048,软件工程1班,男,17,浙江,华东,581,前端开发
S049,软件工程2班,女,17,浙江,华东,622,前端开发
S050,数据科学1班,女,18,湖北,华中,597,视觉设计
S051,软件工程1班,女,18,广东,华南,620,视觉设计
S052,软件工程1班,男,19,湖南,华中,574,数据分析
S053,数据科学1班,男,17,浙江,华东,608,前端开发
S054,数据科学1班,男,18,福建,华东,579,前端开发
S055,软件工程2班,女,19,湖南,华中,583,视觉设计
S056,数字媒体1班,男,19,湖南,华中,591,视觉设计
S057,数据科学1班,女,17,四川,西南,582,前端开发
S058,软件工程2班,女,18,广东,华南,562,数据分析
S059,软件工程2班,女,18,江苏,华东,601,人工智能
S060,数据科学1班,女,20,湖南,华中,626,视觉设计
S061,数字媒体1班,女,19,广东,华南,588,数据分析
S062,软件工程1班,男,19,广西,华南,617,前端开发
S063,数字媒体1班,女,18,山东,华东,595,视觉设计
S064,软件工程2班,女,18,湖南,华中,612,人工智能
S065,软件工程1班,女,18,广东,华南,611,视觉设计
S066,数据科学1班,男,19,广西,华南,598,数据分析
S067,数据科学1班,女,18,浙江,华东,572,数据分析
S068,软件工程1班,男,18,湖南,华中,568,视觉设计
S069,软件工程1班,男,18,广东,华南,571,前端开发
S070,数据科学1班,女,18,江苏,华东,621,数据分析
S071,数据科学1班,男,19,河南,华中,607,数据分析
S072,软件工程2班,女,19,江西,华东,573,人工智能
S073,软件工程2班,男,19,广东,华南,603,数据分析
S074,数字媒体1班,女,18,山东,华东,560,前端开发
S075,软件工程1班,女,18,广东,华南,598,人工智能
S076,软件工程2班,男,19,江西,华东,584,人工智能
S077,软件工程1班,男,18,河南,华中,612,人工智能
S078,数据科学1班,女,17,江苏,华东,598,数据分析
S079,数字媒体1班,男,18,四川,西南,586,人工智能
S080,软件工程2班,女,19,安徽,华东,576,前端开发
